# ############################################################################### 
# # ProperDistance.asc
# # 1:it	2:time	3:distance
# 
2.560000000000000000e+02	5.535714286000000331e-03	1.580751558999999951e+01
5.120000000000000000e+02	1.107142856999999980e-02	1.580769386999999959e+01
7.680000000000000000e+02	1.660714286000000012e-02	1.580787690000000012e+01
1.024000000000000000e+03	2.214285713999999960e-02	1.580806478000000048e+01
1.280000000000000000e+03	2.767857142999999992e-02	1.580825755000000044e+01
1.536000000000000000e+03	3.321428570999999941e-02	1.580845526000000056e+01
1.792000000000000000e+03	3.874999999999999972e-02	1.580865786000000028e+01
2.048000000000000000e+03	4.428571429000000004e-02	1.580886525999999925e+01
2.304000000000000000e+03	4.982142856999999952e-02	1.580907726000000046e+01
2.560000000000000000e+03	5.535714285999999984e-02	1.580929356999999946e+01
2.816000000000000000e+03	6.089285713999999933e-02	1.580951379999999951e+01
3.072000000000000000e+03	6.642857142999999964e-02	1.580973743000000020e+01
3.328000000000000000e+03	7.196428571000000607e-02	1.580996383999999999e+01
3.584000000000000000e+03	7.749999999999999944e-02	1.581019230999999969e+01
3.840000000000000000e+03	8.303571429000000670e-02	1.581042202000000074e+01
4.096000000000000000e+03	8.857142856999999925e-02	1.581065204000000080e+01
4.352000000000000000e+03	9.410714286000000650e-02	1.581088137999999965e+01
4.608000000000000000e+03	9.964285713999999905e-02	1.581110898999999925e+01
4.864000000000000000e+03	1.051785714000000038e-01	1.581133376000000013e+01
5.120000000000000000e+03	1.107142856999999980e-01	1.581155455000000032e+01
5.376000000000000000e+03	1.162500000000000061e-01	1.581177019000000072e+01
5.632000000000000000e+03	1.217857143000000003e-01	1.581197949999999963e+01
5.888000000000000000e+03	1.273214286000000084e-01	1.581218130999999971e+01
6.144000000000000000e+03	1.328571429000000026e-01	1.581237443999999925e+01
6.400000000000000000e+03	1.383928570999999885e-01	1.581255774999999986e+01
6.656000000000000000e+03	1.439285714000000105e-01	1.581273009999999957e+01
6.912000000000000000e+03	1.494642857000000047e-01	1.581289040999999962e+01
7.168000000000000000e+03	1.549999999999999989e-01	1.581303763000000018e+01
7.424000000000000000e+03	1.605357142999999931e-01	1.581317072999999951e+01
7.680000000000000000e+03	1.660714285999999873e-01	1.581328876999999977e+01
7.936000000000000000e+03	1.716071429000000093e-01	1.581339080999999958e+01
8.192000000000000000e+03	1.771428570999999952e-01	1.581347599999999964e+01
8.448000000000000000e+03	1.826785713999999894e-01	1.581354351000000058e+01
8.704000000000000000e+03	1.882142857000000113e-01	1.581359259999999978e+01
8.960000000000000000e+03	1.937500000000000056e-01	1.581362252999999995e+01
