# # Time 	 Separation 	 Orbital Phase 
# 
2.162388392999999885e-05	2.337285746000000053e+00	0.000000000000000000e+00
5.557338170000000396e-03	2.337285746000000053e+00	-3.281490898203594950e-25
1.109305246000000071e-02	2.337285746000000053e+00	-3.945024829668387503e-24
1.662876673999999846e-02	2.337285746000000053e+00	-1.557224926489582975e-23
2.216448102999999878e-02	2.337285746000000053e+00	-5.042022293666099454e-23
2.770019530999999827e-02	2.337285746000000053e+00	-1.640750360354099466e-22
3.323590960000000205e-02	2.337285746000000053e+00	-4.745022580563839960e-22
3.877162388000000154e-02	2.337285746000000053e+00	-1.154332713754546623e-21
4.430733817000000185e-02	2.337285746000000053e+00	-2.421611265839636773e-21
4.984305246000000217e-02	2.337285746000000053e+00	-4.580190645632765703e-21
5.537876674000000166e-02	2.337285746000000053e+00	-8.092877510750027488e-21
6.091448103000000197e-02	2.337285746000000053e+00	-1.362393802918438442e-20
6.645019531000000146e-02	2.337285746000000053e+00	-2.199235241474834985e-20
7.198590959999999483e-02	2.337285746000000053e+00	-3.407935914396321909e-20
7.752162388000000126e-02	2.337285743999999887e+00	-5.078553900596589250e-20
8.305733816999999464e-02	2.337285743999999887e+00	-7.313298445378273851e-20
8.859305246000000189e-02	2.337285742000000166e+00	-1.024855142422718814e-19
9.412876673999999444e-02	2.337285740000000001e+00	-1.407486010674929104e-19
9.966448103000000169e-02	2.337285737999999835e+00	-1.902953475344399869e-19
1.052001952999999934e-01	2.337285733999999948e+00	-2.535563202132649663e-19
1.107359096000000015e-01	2.337285727999999896e+00	-3.324298353821120910e-19
1.162716238999999957e-01	2.337285720000000122e+00	-4.278773402166681119e-19
1.218073382000000038e-01	2.337285708000000017e+00	-5.400258665338999857e-19
1.273430524999999980e-01	2.337285694000000191e+00	-6.686957035728127590e-19
1.328787667000000117e-01	2.337285673999999869e+00	-8.140423497072272289e-19
1.384144810000000059e-01	2.337285650000000103e+00	-9.768900450828505410e-19
1.439501953000000001e-01	2.337285618000000120e+00	-1.158527480401413230e-18
1.494859095999999943e-01	2.337285577999999919e+00	-1.360219810503618525e-18
