# # Time 	 R_dot 	 Theta_dot 
# 
2.162388392999999885e-05	0.000000000000000000e+00	0.000000000000000000e+00
5.557338170000000396e-03	-4.674548393999999942e-11	-5.927854526008619445e-23
1.109305246000000071e-02	-2.842388682000000047e-10	-6.533711014216407258e-22
1.662876673999999846e-02	-6.421764334000000406e-10	-2.100401833370868977e-21
2.216448102999999878e-02	-8.836647034000000480e-10	-6.295117825120452039e-21
2.770019530999999827e-02	-9.538990883999999098e-10	-2.053119203857777121e-20
3.323590960000000205e-02	-1.107237708999999983e-09	-5.607717560629208292e-20
3.877162388000000154e-02	-1.658348857200000094e-09	-1.228080822779784704e-19
4.430733817000000185e-02	-2.791273953999999807e-09	-2.289277384771931833e-19
4.984305246000000217e-02	-4.825010935999999939e-09	-3.899369201997860735e-19
5.537876674000000166e-02	-8.681650349999999802e-09	-6.345498853139625688e-19
6.091448103000000197e-02	-1.616946981200000007e-08	-9.991593189736980156e-19
6.645019531000000146e-02	-2.991142716000000014e-08	-1.511713567202759465e-18
7.198590959999999483e-02	-5.342144499999999863e-08	-2.183459281585234365e-18
7.752162388000000126e-02	-9.125917884000000022e-08	-3.017890552210824066e-18
8.305733816999999464e-02	-1.495289233199999952e-07	-4.036957891501817399e-18
8.859305246000000189e-02	-2.359532804000000119e-07	-5.302392473235646036e-18
9.412876673999999444e-02	-3.601671220000000174e-07	-6.912041499338895703e-18
9.966448103000000169e-02	-5.334742063999999629e-07	-8.950380024745463711e-18
1.052001952999999934e-01	-7.692542501999999845e-07	-1.142778863812175951e-17
1.107359096000000015e-01	-1.082669842200000045e-06	-1.424811891886577190e-17
1.162716238999999957e-01	-1.491155460199999952e-06	-1.724212996861660110e-17
1.218073382000000038e-01	-2.013872942000000210e-06	-2.025908869654692914e-17
1.273430524999999980e-01	-2.672207957999999869e-06	-2.324358365190677187e-17
1.328787667000000117e-01	-3.489045279999999897e-06	-2.625616851328487807e-17
1.384144810000000059e-01	-4.489365740000000401e-06	-2.941764852131646838e-17
1.439501953000000001e-01	-5.699389025999999805e-06	-3.281192423051943699e-17
1.494859095999999943e-01	-7.147247852000000307e-06	-3.643474414226164343e-17
1.550216238999999885e-01	-8.861987638000000286e-06	-4.021452859783959275e-17
1.605573382000000104e-01	-1.087429693999999971e-05	-4.408136213414981244e-17
1.660930525000000046e-01	-1.321540705600000074e-05	-4.802323269036117048e-17
1.716287666999999906e-01	-1.591790514999999993e-05	-5.209049167628057946e-17
1.771644810000000125e-01	-1.901458272000000087e-05	-5.633127315894758165e-17
1.827001953000000067e-01	-2.253930481999999962e-05	-6.071211211106083894e-17
1.882359096000000009e-01	-2.652580539999999947e-05	-6.514525378467545363e-17
1.937716238999999951e-01	-3.100859265999999993e-05	-6.955067920975891305e-17
1.993073381999999893e-01	-3.602173668000000113e-05	-7.389555416539744077e-17
2.048430525000000113e-01	-4.159981732000000206e-05	-7.828592543055386533e-17
2.103787666999999972e-01	-4.777672378000000230e-05	-8.305585745607041344e-17
2.159144809999999914e-01	-5.458661252000000065e-05	-8.877054379280691978e-17
2.214501953000000134e-01	-6.206272536000000009e-05	-9.601201636281894285e-17
2.269859096000000076e-01	-7.023834938000000222e-05	-1.050859685119553141e-16
2.325216239000000018e-01	-7.914568093999999922e-05	-1.155796398652430206e-16
