# ############################################################################### 
# # ProperDistance.asc
# # 1:it	2:time	3:distance
# 
1.000000000000000000e+00	2.583333333000000127e-03	1.656362391000000045e+01
2.000000000000000000e+00	5.166666666999999817e-03	1.656350541000000121e+01
3.000000000000000000e+00	7.749999999999999944e-03	1.656335569999999890e+01
4.000000000000000000e+00	1.033333332999999965e-02	1.656317302000000069e+01
5.000000000000000000e+00	1.291666667000000018e-02	1.656304297000000147e+01
6.000000000000000000e+00	1.549999999999999989e-02	1.656291673999999858e+01
7.000000000000000000e+00	1.808333332999999959e-02	1.656279147000000052e+01
8.000000000000000000e+00	2.066666667000000013e-02	1.656266811000000061e+01
9.000000000000000000e+00	2.324999999999999983e-02	1.656254674999999921e+01
1.000000000000000000e+01	2.583333332999999954e-02	1.656242732999999845e+01
1.100000000000000000e+01	2.841666667000000007e-02	1.656230980000000130e+01
1.200000000000000000e+01	3.099999999999999978e-02	1.656219418999999959e+01
1.300000000000000000e+01	3.358333332999999948e-02	1.656208050000000043e+01
1.400000000000000000e+01	3.616666667000000002e-02	1.656196874999999835e+01
1.500000000000000000e+01	3.874999999999999972e-02	1.656185879999999955e+01
1.600000000000000000e+01	4.133333332999999943e-02	1.656175079000000139e+01
1.700000000000000000e+01	4.391666666999999996e-02	1.656164449999999988e+01
1.800000000000000000e+01	4.649999999999999967e-02	1.656154017000000067e+01
1.900000000000000000e+01	4.908333332999999937e-02	1.656143740999999991e+01
2.000000000000000000e+01	5.166666666999999991e-02	1.656133662999999956e+01
2.100000000000000000e+01	5.424999999999999961e-02	1.656123721999999887e+01
2.200000000000000000e+01	5.683333332999999932e-02	1.656113981000000024e+01
2.300000000000000000e+01	5.941666666999999985e-02	1.656104355000000083e+01
2.400000000000000000e+01	6.199999999999999956e-02	1.656094935999999862e+01
2.500000000000000000e+01	6.458333333000000620e-02	1.656085596999999865e+01
2.600000000000000000e+01	6.716666666999999979e-02	1.656076470000000000e+01
2.700000000000000000e+01	6.975000000000000644e-02	1.656067390000000117e+01
2.800000000000000000e+01	7.233333332999999921e-02	1.656058535000000020e+01
2.900000000000000000e+01	7.491666667000000668e-02	1.656049678999999841e+01
3.000000000000000000e+01	7.749999999999999944e-02	1.656041056999999839e+01
3.100000000000000000e+01	8.008333333000000609e-02	1.656032391999999831e+01
3.200000000000000000e+01	8.266666666999999968e-02	1.656023980000000151e+01
3.300000000000000000e+01	8.525000000000000633e-02	1.656015462999999954e+01
3.400000000000000000e+01	8.783333332999999910e-02	1.656007212000000095e+01
3.500000000000000000e+01	9.041666667000000657e-02	1.655998808000000011e+01
3.600000000000000000e+01	9.299999999999999933e-02	1.655990694999999846e+01
3.700000000000000000e+01	9.558333333000000598e-02	1.655982356999999894e+01
3.800000000000000000e+01	9.816666666999999957e-02	1.655974327999999929e+01
3.900000000000000000e+01	1.007500000000000062e-01	1.655966018000000162e+01
4.000000000000000000e+01	1.033333332999999965e-01	1.655958048999999832e+01
4.100000000000000000e+01	1.059166666999999951e-01	1.655949717000000021e+01
4.200000000000000000e+01	1.084999999999999992e-01	1.655941749999999857e+01
4.300000000000000000e+01	1.110833333000000034e-01	1.655933356999999972e+01
4.400000000000000000e+01	1.136666667000000019e-01	1.655925368999999847e+01
4.500000000000000000e+01	1.162500000000000061e-01	1.655916866000000098e+01
4.600000000000000000e+01	1.188333332999999964e-01	1.655908797000000021e+01
4.700000000000000000e+01	1.214166666999999949e-01	1.655900146999999833e+01
4.800000000000000000e+01	1.239999999999999991e-01	1.655891974000000033e+01
4.900000000000000000e+01	1.265833332999999894e-01	1.655883123999999995e+01
5.000000000000000000e+01	1.291666666999999880e-01	1.655874786000000043e+01
5.100000000000000000e+01	1.317500000000000060e-01	1.655865702999999911e+01
5.200000000000000000e+01	1.343333332999999963e-01	1.655857178999999846e+01
5.300000000000000000e+01	1.369166666999999948e-01	1.655847812000000019e+01
5.400000000000000000e+01	1.395000000000000129e-01	1.655839045000000098e+01
5.500000000000000000e+01	1.420833333000000032e-01	1.655829364999999953e+01
5.600000000000000000e+01	1.446666667000000017e-01	1.655820333999999860e+01
5.700000000000000000e+01	1.472499999999999920e-01	1.655810289000000068e+01
5.800000000000000000e+01	1.498333333000000100e-01	1.655800935999999979e+01
5.900000000000000000e+01	1.524166667000000086e-01	1.655790495000000107e+01
6.000000000000000000e+01	1.549999999999999989e-01	1.655780799000000059e+01
6.100000000000000000e+01	1.575833332999999892e-01	1.655769915999999853e+01
6.200000000000000000e+01	1.601666666999999877e-01	1.655759816999999856e+01
6.300000000000000000e+01	1.627500000000000058e-01	1.655748456999999974e+01
6.400000000000000000e+01	1.653333332999999961e-01	1.655737938000000042e+01
6.500000000000000000e+01	1.679166666999999946e-01	1.655726059999999933e+01
6.600000000000000000e+01	1.705000000000000127e-01	1.655715067999999945e+01
6.700000000000000000e+01	1.730833333000000029e-01	1.655702648000000110e+01
6.800000000000000000e+01	1.756666667000000015e-01	1.655691171999999867e+01
6.900000000000000000e+01	1.782499999999999918e-01	1.655678172000000004e+01
7.000000000000000000e+01	1.808333333000000098e-01	1.655666158000000010e+01
7.100000000000000000e+01	1.834166667000000084e-01	1.655652544999999876e+01
7.200000000000000000e+01	1.859999999999999987e-01	1.655639972000000171e+01
7.300000000000000000e+01	1.885833332999999890e-01	1.655625704999999925e+01
7.400000000000000000e+01	1.911666666999999875e-01	1.655612521000000115e+01
7.500000000000000000e+01	1.937500000000000056e-01	1.655597575999999904e+01
7.600000000000000000e+01	1.963333332999999958e-01	1.655583764000000002e+01
7.700000000000000000e+01	1.989166666999999944e-01	1.655568094999999929e+01
7.800000000000000000e+01	2.015000000000000124e-01	1.655553603999999979e+01
7.900000000000000000e+01	2.040833333000000027e-01	1.655537187999999915e+01
8.000000000000000000e+01	2.066666667000000013e-01	1.655521995000000146e+01
8.100000000000000000e+01	2.092499999999999916e-01	1.655504782999999946e+01
8.200000000000000000e+01	2.118333333000000096e-01	1.655488829999999822e+01
8.300000000000000000e+01	2.144166667000000082e-01	1.655470800000000153e+01
8.400000000000000000e+01	2.169999999999999984e-01	1.655454088999999840e+01
