# ############################################################################### 
# # ShiftTracker1.asc:
# # itt	time	x	y	z	vx	vy	vz	ax	ay	az
# #=======================================================================
# 
1.000000000000000000e+00	2.583333333000000127e-03	-1.500000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
2.000000000000000000e+00	5.166666666999999817e-03	-1.500000000000000000e+00	-6.504943659999999686e-15	-4.156143561000000266e-20	1.328848875000000095e-12	-7.554128121000000098e-12	-4.826489297000000029e-17	5.143931130999999847e-10	-2.924178628000000142e-09	-1.868318436999999843e-14
3.000000000000000000e+00	7.749999999999999944e-03	-1.500000000000000000e+00	-5.875656847000000122e-14	-3.374328420999999945e-19	3.497417610000000170e-12	-2.022643541000000106e-11	-1.145308669999999911e-16	8.394459617000000116e-10	-4.905409273999999951e-09	-2.565134478999999916e-14
4.000000000000000000e+00	1.033333332999999965e-02	-1.500000000000000000e+00	-3.029843160999999896e-13	-1.093192994000000064e-18	3.816739003000000046e-11	-2.558387563000000014e-10	-7.148611908000000420e-16	1.342063448999999933e-08	-9.120476935999999838e-08	-2.323859317999999889e-13
5.000000000000000000e+00	1.291666667000000018e-02	-1.500000000000000000e+00	-1.884953275999999800e-12	-5.330967965000000207e-18	8.977529546999999529e-11	-6.123750812999999582e-10	-1.640429021000000013e-15	1.997725372000000029e-08	-1.380140613000000022e-07	-3.582843213999999998e-13
6.000000000000000000e+00	1.549999999999999989e-02	-1.500000000000000000e+00	-4.953706638999999933e-12	-1.164290023000000037e-17	3.736516952000000192e-10	-2.695499743999999902e-09	-4.974695645000000150e-15	1.098876386000000049e-07	-8.063708373000000174e-07	-1.290683853999999985e-12
7.000000000000000000e+00	1.808333332999999959e-02	-1.500000000000000000e+00	-1.966515915000000051e-11	-3.480156672000000055e-17	7.839886155000000040e-10	-5.694755809999999625e-09	-8.964645094000000012e-15	1.588400982000000130e-07	-1.161002348000000027e-06	-1.544496561000000014e-12
8.000000000000000000e+00	2.066666667000000013e-02	-1.500000000000000000e+00	-4.831323374999999986e-11	-5.517786596000000137e-17	3.514902876000000167e-09	-2.487847623999999845e-08	-9.723458368000000092e-15	1.057128100999999984e-06	-7.425956293000000302e-06	-2.937341704999999795e-13
9.000000000000000000e+00	2.324999999999999983e-02	-1.500000000000000000e+00	-1.839735455999999908e-10	-8.138429714000000371e-17	7.454832243000000491e-09	-5.251366910999999984e-08	-1.014442496999999997e-14	1.525133947999999921e-06	-1.069749402000000040e-05	-1.629548151999999937e-13
1.000000000000000000e+01	2.583333332999999954e-02	-1.500000000000000000e+00	-3.894543669999999779e-10	-1.109772921999999943e-16	2.293051685000000100e-08	-1.612307439999999941e-07	-1.449817541999999850e-14	5.990587589999999957e-06	-4.208402899999999822e-05	-1.685322754999999947e-12
1.100000000000000000e+01	2.841666667000000007e-02	-1.500000000000000000e+00	-1.178046593000000023e-09	-1.669191712000000088e-16	4.341674408000000074e-08	-3.052615069000000139e-07	-2.165492091999999871e-14	7.930152478000000520e-06	-5.575384368999999706e-05	-2.770353095000000135e-12
1.200000000000000000e+01	3.099999999999999978e-02	-1.500000000000000000e+00	-2.119261777000000017e-09	-2.493965994999999810e-16	8.900895546999999605e-08	-6.265318337999999784e-07	-5.962714299999999751e-14	1.764859796000000096e-05	-1.243627071999999899e-04	-1.469892467999999864e-11
1.300000000000000000e+01	3.358333332999999948e-02	-1.499999998999999917e+00	-4.786517727000000121e-09	-5.293018171000000024e-16	1.466405581000000024e-07	-1.032486174000000100e-06	-1.083504068000000028e-13	2.230900745000000075e-05	-1.571436156000000084e-04	-1.886061824000000018e-11
1.400000000000000000e+01	3.616666667000000002e-02	-1.499999998999999917e+00	-7.687721931999999591e-09	-8.635359228999999788e-16	2.430223647000000060e-07	-1.710122359999999948e-06	-2.201652827999999884e-13	3.730908645999999869e-05	-2.623107817000000053e-04	-4.328317780999999695e-11
1.500000000000000000e+01	3.874999999999999972e-02	-1.499999998000000057e+00	-1.426886174000000019e-08	-1.807906734000000101e-15	3.621175423000000051e-07	-2.547537988999999806e-06	-3.655628946999999837e-13	4.610135905999999890e-05	-3.241608887000000240e-04	-5.628294656000000113e-11
1.600000000000000000e+01	4.133333332999999943e-02	-1.499999996999999974e+00	-2.122007978000000005e-08	-2.888290411000000085e-15	5.422199055999999905e-07	-3.814721897999999687e-06	-6.689109303999999832e-13	6.971704386000000635e-05	-4.905228035000000052e-04	-1.174250461000000082e-10
1.700000000000000000e+01	4.391666666999999996e-02	-1.499999995000000030e+00	-3.503077133000000054e-08	-5.607835606000000344e-15	7.598672729999999951e-07	-5.346074145000000067e-06	-1.052727171999999978e-12	8.425059381000000634e-05	-5.927815147999999533e-04	-1.485740291999999967e-10
1.800000000000000000e+01	4.649999999999999967e-02	-1.499999993000000087e+00	-4.938969157000000066e-08	-8.603613581999999386e-15	1.067988945000000008e-06	-7.514079080999999587e-06	-1.757329869000000063e-12	1.192729054000000012e-04	-8.392277173000000029e-04	-2.727494310999999867e-10
1.900000000000000000e+01	4.908333332999999937e-02	-1.499999988999999978e+00	-7.544792317999999406e-08	-1.540691934999999844e-14	1.433687093999999910e-06	-1.008705739999999916e-05	-2.633537716999999854e-12	1.415605736000000105e-04	-9.959916062000000268e-04	-3.391772311999999901e-10
2.000000000000000000e+01	5.166666666999999991e-02	-1.499999985000000091e+00	-1.022512092999999958e-07	-2.271210055999999912e-14	1.922550790999999925e-06	-1.352526026000000018e-05	-4.092568655000000070e-12	1.892375601999999994e-04	-1.330917238999999950e-03	-5.647861696000000333e-10
2.100000000000000000e+01	5.424999999999999961e-02	-1.499999979000000039e+00	-1.475828338999999905e-07	-3.790351167000000175e-14	2.494486534999999969e-06	-1.754772568000000140e-05	-5.880546238999999820e-12	2.213944817999999900e-04	-1.557083386000000097e-03	-6.921203551000000500e-10
2.200000000000000000e+01	5.683333332999999932e-02	-1.499999971999999904e+00	-1.938848108999999997e-07	-5.393607833999999773e-14	3.226696308000000115e-06	-2.269705185000000123e-05	-8.645349618000000523e-12	2.834360409999999732e-04	-1.993287550999999803e-03	-1.070246468999999946e-09
2.300000000000000000e+01	5.941666666999999985e-02	-1.499999961999999964e+00	-2.678770841000000190e-07	-8.490080211000000532e-14	4.072115634999999589e-06	-2.864217027000000160e-05	-1.198634469000000060e-11	3.272590944000000157e-04	-2.301336160999999970e-03	-1.293288413999999912e-09
2.400000000000000000e+01	6.199999999999999956e-02	-1.499999950999999943e+00	-3.430833009000000139e-07	-1.171801317999999942e-13	5.118244468000000343e-06	-3.599702962000000310e-05	-1.685397884000000010e-11	4.049530966000000230e-04	-2.847042329000000135e-03	-1.884245480000000112e-09
2.500000000000000000e+01	6.458333333000000620e-02	-1.499999934999999951e+00	-4.577529742000000111e-07	-1.757279554000000078e-13	6.311856591999999742e-06	-4.438826064999999921e-05	-2.266367368000000085e-11	4.620434027999999866e-04	-3.248218464000000080e-03	-2.248914129000000094e-09
2.600000000000000000e+01	6.716666666999999979e-02	-1.499999918000000099e+00	-5.738922354999999689e-07	-2.362417599999999972e-13	7.748630999000000132e-06	-5.448610990000000244e-05	-3.075644305999999878e-11	5.561707380999999931e-04	-3.908844871999999845e-03	-3.132684919999999978e-09
2.700000000000000000e+01	6.975000000000000644e-02	-1.499999893999999889e+00	-7.440942631999999837e-07	-3.403709065999999998e-13	9.370610133000000771e-06	-6.588465591000000079e-05	-4.030805676999999810e-11	6.278628904999999927e-04	-4.412340388999999585e-03	-3.697398858000000074e-09
2.800000000000000000e+01	7.233333332999999921e-02	-1.499999869999999902e+00	-9.160332314000000317e-07	-4.472774059000000168e-13	1.128018594000000026e-05	-7.930029400999999705e-05	-5.308498320000000008e-11	7.391906347000000519e-04	-5.193150235000000038e-03	-4.945907002999999838e-09
2.900000000000000000e+01	7.491666667000000668e-02	-1.499999834999999893e+00	-1.159642546999999948e-06	-6.229261826000000270e-13	1.341551460000000016e-05	-9.430038040999999744e-05	-6.799307484000000553e-11	8.265788366999999876e-04	-5.806485055999999895e-03	-5.770874186000000023e-09
3.000000000000000000e+01	7.749999999999999944e-02	-1.499999800000000105e+00	-1.405265559000000020e-06	-8.021727714000000035e-13	1.588441545999999966e-05	-1.116389522999999964e-04	-8.707927090000000051e-11	9.557035578999999821e-04	-6.711705263000000352e-03	-7.388204923999999958e-09
3.100000000000000000e+01	8.008333333000000609e-02	-1.499999751999999908e+00	-1.743320356000000043e-06	-1.084012109000000061e-12	1.862166781000000070e-05	-1.308599213999999875e-04	-1.090990986000000063e-10	1.059581554999999928e-03	-7.440375106000000384e-03	-8.523804257999999935e-09
