# # Time 	 Separation 	 Orbital Phase 
# 
2.583333333000000127e-03	3.000000000000000000e+00	0.000000000000000000e+00
5.166666666999999817e-03	3.000000000000000000e+00	1.924048008999999901e-14
7.749999999999999944e-03	3.000000000000000000e+00	1.632109260233333602e-13
1.033333332999999965e-02	3.000000000000000000e+00	5.210216986999999476e-13
1.291666667000000018e-02	3.000000000000000000e+00	2.433271892333333520e-12
1.549999999999999989e-02	3.000000000000000000e+00	6.009422719666667387e-12
1.808333332999999959e-02	3.000000000000000000e+00	2.298972025666666664e-11
2.066666667000000013e-02	3.000000000000000000e+00	5.808725161666666164e-11
2.324999999999999983e-02	3.000000000000000000e+00	2.286004923666666675e-10
2.583333332999999954e-02	3.000000000000000000e+00	4.723276719999999088e-10
2.841666667000000007e-02	3.000000000000000000e+00	1.356614046666666632e-09
3.099999999999999978e-02	2.999999998999999917e+00	2.379031960459677758e-09
3.358333332999999948e-02	2.999999997999999835e+00	5.110733692407156678e-09
3.616666667000000002e-02	2.999999996999999752e+00	8.056913322056914407e-09
3.874999999999999972e-02	2.999999994000000392e+00	1.451804395236942047e-08
4.133333332999999943e-02	2.999999991000000588e+00	2.131520508061227625e-08
4.391666666999999996e-02	2.999999986000001506e+00	3.452722469112703795e-08
4.649999999999999967e-02	2.999999980000003674e+00	4.821679754811194872e-08
4.908333332999999937e-02	2.999999970000008176e+00	7.259771091931031448e-08
5.166666666999999991e-02	2.999999959000014371e+00	9.761271633404015232e-08
5.424999999999999961e-02	2.999999942000028952e+00	1.392098465913894679e-07
5.683333332999999932e-02	2.999999925000049306e+00	1.816142973070220931e-07
5.941666666999999985e-02	2.999999898000092369e+00	2.483276045431335050e-07
6.199999999999999956e-02	2.999999870000150004e+00	3.160295534279367925e-07
6.458333333000000620e-02	2.999999828000261992e+00	4.177615223849697169e-07
6.716666666999999979e-02	2.999999786000406843e+00	5.206674063075612398e-07
6.975000000000000644e-02	2.999999725000671802e+00	6.694256054305805414e-07
7.233333332999999921e-02	2.999999664001007371e+00	8.195472265891058552e-07
7.491666667000000668e-02	2.999999578001589562e+00	1.029526828819743415e-06
7.749999999999999944e-02	2.999999492002310753e+00	1.241062198152561595e-06
8.008333333000000609e-02	2.999999375003504998e+00	1.528700943144839249e-06
8.266666666999999968e-02	2.999999257004958064e+00	1.818069448606530578e-06
8.525000000000000633e-02	2.999999101007273072e+00	2.201942022178400609e-06
8.783333332999999910e-02	2.999998944010044077e+00	2.587693395195632939e-06
9.041666667000000657e-02	2.999998740014306886e+00	3.088327683087808392e-06
9.299999999999999933e-02	2.999998536019343298e+00	3.591004168061265774e-06
