# # Time 	 R_dot 	 Theta_dot 
# 
2.583333333000000127e-03	0.000000000000000000e+00	0.000000000000000000e+00
5.166666666999999817e-03	-5.566628639838019641e-12	2.234378333033336599e-11
7.749999999999999944e-03	-1.489280041704432223e-11	5.573049520333415111e-11
1.033333332999999965e-02	-1.143125983210291878e-10	3.374479091000197942e-10
1.291666667000000018e-02	-2.548930662623903602e-10	7.402258814335401769e-10
1.549999999999999989e-02	-1.213221687007218104e-09	3.075275557335763562e-09
1.808333332999999959e-02	-2.678384074959856579e-09	6.573018400020525267e-09
2.066666667000000013e-02	-1.311633663783103539e-08	3.111012955358729314e-08
2.324999999999999983e-02	-2.789076310764856887e-08	6.600512543879194975e-08
2.583333332999999954e-02	-7.766951259649346241e-08	1.859227600788951298e-07
2.841666667000000007e-02	-1.425793260567151693e-07	3.423044032311416580e-07
3.099999999999999978e-02	-2.741695905652112893e-07	6.590968650371182831e-07
3.358333332999999948e-02	-4.396333419848273898e-07	1.057432929453904995e-06
3.616666667000000002e-02	-7.082462984915597655e-07	1.704840096606933559e-06
3.874999999999999972e-02	-1.038396137968591225e-06	2.501082826360658828e-06
4.133333332999999943e-02	-1.528122076498025794e-06	3.687554513253409092e-06
4.391666666999999996e-02	-2.116770052250112310e-06	5.114330181895606474e-06
4.649999999999999967e-02	-2.931971321607589958e-06	7.095683761427981561e-06
4.908333332999999937e-02	-3.894942626516665546e-06	9.437772948632367056e-06
5.166666666999999991e-02	-5.157696744763869369e-06	1.251622690887402990e-05
5.424999999999999961e-02	-6.627558436252281431e-06	1.610211504551468920e-05
5.683333332999999932e-02	-8.477507499258792211e-06	2.062553612551725146e-05
5.941666666999999985e-02	-1.060228029304210399e-05	2.582450627231284201e-05
6.199999999999999956e-02	-1.319130448622391294e-05	3.217157510038227476e-05
6.458333333000000620e-02	-1.612971834899126739e-05	3.938011756058530259e-05
6.716666666999999979e-02	-1.961847573711878096e-05	4.795191326880343891e-05
6.975000000000000644e-02	-2.353620763719425910e-05	5.758382016709687683e-05
7.233333332999999921e-02	-2.809251876530920785e-05	6.879904978320886271e-05
7.491666667000000668e-02	-3.316111753864953865e-05	8.128242908381510840e-05
7.749999999999999944e-02	-3.895738147967448911e-05	9.557249276645326467e-05
8.008333333000000609e-02	-4.535127379540905394e-05	1.113440346728522459e-04
8.266666666999999968e-02	-5.255333134524470203e-05	1.291243069283220786e-04
8.525000000000000633e-02	-6.043690927086228695e-05	1.485958427554109581e-04
8.783333332999999910e-02	-6.919859556211137037e-05	1.702491674492899237e-04
9.041666667000000657e-02	-7.872202298885891370e-05	1.937939308332519686e-04
9.299999999999999933e-02	-8.920027812909263256e-05	2.197102062914375680e-04
9.558333333000000598e-02	-1.005184658559512564e-04	2.477124497475498332e-04
9.816666666999999957e-02	-1.128724783207148364e-04	2.782860440515174641e-04
1.007500000000000062e-01	-1.261432656332670118e-04	3.111353671019098329e-04
1.033333332999999965e-01	-1.405085797334396298e-04	3.466927499453889994e-04
1.059166666999999951e-01	-1.558623261427513347e-04	3.847004702156119169e-04
1.084999999999999992e-01	-1.723549559707760338e-04	4.255202679749591496e-04
1.110833333000000034e-01	-1.898995296412486029e-04	4.689440927740077701e-04
1.136666667000000019e-01	-2.086373675039070684e-04	5.153194477718071312e-04
1.162500000000000061e-01	-2.284846266999734541e-04	5.644384957996954671e-04
1.188333332999999964e-01	-2.495790042994454469e-04	6.166375862990152628e-04
1.214166666999999949e-01	-2.718374201254916125e-04	6.717125816679972786e-04
1.239999999999999991e-01	-2.953811968250910527e-04	7.299463528717410306e-04
