# #Time 	 Real 	 Imaginary 	 Amplitude 	 Phase 
# 
0.000000000000000000e+00	-2.009059662688474120e-08	1.234885310012329037e-07	1.251121471387436984e-07	-1.732075290349547103e+00
4.571428571428575172e-01	-2.009951218235805204e-08	1.241338458423878833e-07	1.257505549633498895e-07	-1.731321216027204235e+00
9.142857142857150343e-01	-2.012932853721893702e-08	1.247755085205273097e-07	1.263887550137095118e-07	-1.730742620126930920e+00
1.371428571428572551e+00	-2.011206241361345901e-08	1.254137328753800905e-07	1.270161385347006669e-07	-1.729808150892950369e+00
1.828571428571430069e+00	-2.006451771967874071e-08	1.260491442823345164e-07	1.276360906861068263e-07	-1.728652070417753484e+00
2.285714285714287364e+00	-2.005807786924394585e-08	1.266802753590323170e-07	1.282584057785255010e-07	-1.727828933622915786e+00
2.742857142857145103e+00	-2.011638275265584701e-08	1.273073633065119576e-07	1.288869023877429336e-07	-1.727514847717190660e+00
3.200000000000002842e+00	-2.010970490313351863e-08	1.279310095849119202e-07	1.295019051779005200e-07	-1.726712285359766508e+00
3.657142857142860137e+00	-2.004355788695873039e-08	1.285508080681429957e-07	1.301040140339274905e-07	-1.725470278405636382e+00
4.114285714285717432e+00	-2.003303904024045809e-08	1.291663894145458802e-07	1.307106683005557430e-07	-1.724665229477932549e+00
4.571428571428574728e+00	-2.004015959024980775e-08	1.297775453304457405e-07	1.313157236144955468e-07	-1.724005515311141545e+00
5.028571428571432911e+00	-2.006976022836595554e-08	1.303843847565825618e-07	1.319199873558842398e-07	-1.723525253223818554e+00
5.485714285714290206e+00	-2.011467427358227540e-08	1.309864556298920959e-07	1.325218913222038443e-07	-1.723169045347688222e+00
5.942857142857147501e+00	-2.001093858846434425e-08	1.315836020962579171e-07	1.330965138680109334e-07	-1.721717685070933479e+00
6.400000000000005684e+00	-1.993132869080810648e-08	1.321765427793732384e-07	1.336708506911230517e-07	-1.720461965518222280e+00
6.857142857142862979e+00	-2.008266164869357153e-08	1.327642178343062275e-07	1.342745353224170400e-07	-1.720923813616817011e+00
7.314285714285720275e+00	-2.006613982689110310e-08	1.333456955780508193e-07	1.348470411123156485e-07	-1.720157729024644366e+00
7.771428571428577570e+00	-1.982295476239468228e-08	1.339226826417542068e-07	1.353818099357367881e-07	-1.717747232670931101e+00
8.228571428571434865e+00	-1.989273941918623709e-08	1.344948528265939695e-07	1.359580321954051168e-07	-1.717638771911733198e+00
8.685714285714292160e+00	-2.016380613202607138e-08	1.350597534989127792e-07	1.365566406035130007e-07	-1.718997152897311587e+00
9.142857142857149455e+00	-2.010491138958728361e-08	1.356180119401267955e-07	1.371001554505885035e-07	-1.717971034280306064e+00
9.600000000000008527e+00	-1.982971986794023434e-08	1.361711987321269317e-07	1.376074603870930746e-07	-1.715403307103100072e+00
1.005714285714286582e+01	-1.973983487163661742e-08	1.367183474916400333e-07	1.381360475097080304e-07	-1.714188613758945934e+00
1.051428571428572312e+01	-1.986092459269582719e-08	1.372583648988011335e-07	1.386878331374789073e-07	-1.714496338840180156e+00
1.097142857142858041e+01	-1.998938516891538462e-08	1.377912368457601498e-07	1.392336183215663757e-07	-1.714861380581497174e+00
1.142857142857143771e+01	-1.998880168745342953e-08	1.383166815153259393e-07	1.397535565855568669e-07	-1.714317465426476117e+00
1.188571428571429500e+01	-1.987440886225984763e-08	1.388345885714330429e-07	1.402499023579815514e-07	-1.712982046000388614e+00
1.234285714285715230e+01	-1.976720746163479663e-08	1.393453048048865456e-07	1.407403867480761516e-07	-1.711713811864675749e+00
1.280000000000001137e+01	-1.974736645620905914e-08	1.398482764101917632e-07	1.412356148315898799e-07	-1.711074543310317164e+00
1.325714285714286866e+01	-1.978419209426588179e-08	1.403422149333560162e-07	1.417298541212228413e-07	-1.710844543143239749e+00
1.371428571428572596e+01	-1.981189813732940830e-08	1.408268605132106877e-07	1.422136278624914862e-07	-1.710561748073635480e+00
1.417142857142858325e+01	-1.979738840453808151e-08	1.413028774441869713e-07	1.426830044597010288e-07	-1.709996280861209694e+00
1.462857142857144055e+01	-1.974439256675020214e-08	1.417701245855242615e-07	1.431384269259132655e-07	-1.709176695369545751e+00
1.508571428571429784e+01	-1.968393708913291560e-08	1.422275126080618163e-07	1.435831561221765413e-07	-1.708320262775917531e+00
1.554285714285715514e+01	-1.965331405832192571e-08	1.426743326131874901e-07	1.440215884515008856e-07	-1.707684324478169424e+00
1.600000000000001421e+01	-1.965882698953391398e-08	1.431105477972533120e-07	1.444544854597265664e-07	-1.707310054667007249e+00
1.645714285714286973e+01	-1.966063938283302844e-08	1.435359793965165827e-07	1.448762165514375821e-07	-1.706922817170347439e+00
